iter	Passed	Remaining
354	405716	1880010
355	406960	1879334
356	408267	1878944
357	409874	1879928
358	411063	1878983
359	412223	1877906
360	413188	1875946
361	414207	1874229
362	415289	1872804
363	416559	1872229
364	417594	1870596
365	418714	1869341
366	419803	1867955
367	420891	1866560
368	421974	1865150
369	423063	1863766
370	424196	1862575
371	425481	1862054
372	426764	1861516
373	427802	1859910
374	428811	1858183
375	429904	1856821
376	431041	1855651
377	432179	1854486
378	433474	1853989
379	434886	1853989
380	436409	1854454
381	437677	1853829
382	438825	1852690
383	440078	1851997
384	441735	1852993
385	443546	1854621
386	444974	1854634
387	446171	1853682
388	447285	1852381
389	448462	1851345
390	449721	1850643
391	450946	1849799
392	452192	1849040
393	453607	1848966
394	455023	1848893
395	456282	1848173
396	457804	1848516
397	459118	1848010
398	460445	1847553
399	461880	1847521
400	463093	1846601
401	464488	1846401
402	465821	1845947
403	467055	1845099
404	468236	1844041
405	469387	1842866
406	470749	1842517
407	471947	1841520
408	473147	1840530
409	474478	1840051
410	475888	1839871
411	477211	1839349
412	478558	1838914
413	479816	1838136
414	481106	1837480
415	482246	1836245
416	483638	1835969
417	484821	1834896
418	486069	1834071
419	487323	1833263
420	488666	1832789
421	489945	1832071
422	491164	1831125
423	492430	1830356
424	494190	1831413
425	495409	1830458
426	496717	1829827
427	498134	1829596
428	499662	1829764
429	501026	1829330
430	502404	1828937
431	503613	1827929
432	504861	1827061
433	506094	1826138
434	507475	1825746
435	508860	1825361
436	510229	1824915
437	511624	1824560
438	513526	1826000
439	515889	1829061
440	517796	1830485
441	519641	1831678
442	521706	1833627
443	523581	1834895
444	525787	1837303
445	527687	1838625
446	529534	1839746
447	531419	1840988
448	534082	1844905
449	536039	1846359
450	537970	1847707
451	540086	1849675
452	542242	1851762
453	544241	1853297
454	546103	1854352
455	548321	1856596
456	550468	1858583
457	552226	1859243
458	555613	1865358
459	557971	1867993
460	559367	1867388
461	560811	1866944
462	562587	1867595
463	563865	1866587
464	565210	1865802
465	566500	1864832
466	567869	1864118
467	568891	1862268
468	570137	1861152
469	571311	1859802
470	572365	1858061
471	573553	1856757
472	574809	1855673
473	575881	1853997
474	577072	1852705
475	578314	1851576
476	579904	1851560
477	581369	1851138
478	582641	1850098
479	584118	1849709
480	585623	1849401
481	587159	1849185
482	588483	1848302
483	589903	1847714
484	591094	1846409
485	592254	1845005
486	593884	1845067
487	595439	1844887
488	596672	1843705
489	597888	1842471
490	599504	1842468
491	600667	1841069
492	601798	1839574
493	602969	1838202
494	604214	1837055
495	605365	1835624
496	606571	1834359
497	607867	1833367
498	609125	1832258
499	610606	1831820
500	611698	1830210
501	612938	1829046
502	614287	1828206
503	615437	1826775
504	616714	1825720
505	618030	1824778
506	619357	1823867
507	620721	1823063
508	622070	1822214
509	623347	1821152
510	624870	1820806
511	626749	1821491
512	628262	1821102
513	629765	1820684
514	631299	1820348
515	632720	1819683
516	634173	1819109
517	636070	1819798
518	637297	1818569
519	638712	1817873
520	640176	1817315
521	641721	1816981
522	643151	1816318
523	645017	1816881
524	646404	1816087
525	647740	1815152
526	649171	1814478
527	650446	1813364
528	651692	1812173
529	652862	1810769
530	654062	1809451
531	655418	1808560
532	656719	1807517
533	657938	1806251
534	659419	1805700
535	660764	1804773
536	662425	1804708
537	663622	1803375
538	664835	1802086
539	666042	1800781
540	667262	1799511
541	668439	1798126
542	669801	1797239
543	671269	1796633
544	672828	1796266
545	674472	1796121
546	675829	1795211
547	677181	1794284
548	678667	1793710
549	680409	1793807
550	681790	1792949
551	683067	1791814
552	684398	1790822
553	685670	1789674
554	686932	1788500
555	688157	1787228
556	689419	1786054
557	690704	1784938
558	691862	1783494
559	693171	1782439
560	694501	1781440
561	695847	1780478
562	697277	1779728
563	698734	1779048
564	700239	1778483
565	701442	1777153
566	702610	1775732
567	703822	1774426
568	705505	1774302
569	706870	1773377
570	708179	1772308
571	709601	1771522
572	710963	1770584
573	712321	1769633
574	713604	1768498
575	714766	1767061
576	716011	1765831
577	717390	1764928
578	718695	1763844
579	720083	1762963
580	721437	1761995
581	723105	1761793
582	724445	1760787
583	725711	1759601
584	726921	1758280
585	728186	1757091
586	729441	1755879
587	730865	1755072
588	732172	1753981
589	733546	1753050
590	734987	1752281
591	736337	1751289
592	737713	1750357
593	738910	1749002
594	740254	1747996
595	741343	1746387
596	742739	1745501
597	744124	1744586
598	745326	1743242
599	746503	1741840
600	747588	1740226
601	748846	1739015
602	750078	1737744
603	751263	1736362
604	752511	1735129
605	753601	1733532
606	754814	1732219
607	756038	1730930
608	757330	1729798
609	758690	1728818
610	759962	1727640
611	761178	1726333
612	762405	1725050
613	763923	1724426
614	765401	1723708
615	766783	1722772
616	767977	1721415
617	769232	1720193
618	770430	1718843
619	771793	1717862
620	772979	1716487
621	774348	1715519
622	775473	1714008
623	777031	1713455
624	777989	1711576
625	779177	1710206
626	780488	1709107
627	781954	1708347
628	783172	1707041
629	784445	1705858
630	785712	1704659
631	786993	1703492
632	788295	1702368
633	789411	1700844
634	790554	1699380
635	791543	1697587
636	792743	1696246
637	794064	1695165
638	795159	1693603
639	796249	1692029
640	797550	1690907
641	798870	1689822
642	800025	1688389
643	801132	1686856
644	802249	1685346
645	803512	1684141
646	804796	1682982
647	805955	1681561
648	807100	1680111
649	808195	1678559
650	809457	1677354
651	810692	1676093
652	811938	1674855
653	813235	1673723
654	814483	1672488
655	815688	1671167
656	816796	1669646
657	817991	1668304
658	819228	1667049
659	820561	1665987
660	821723	1664580
661	822789	1662978
662	824024	1661719
663	825295	1660533
664	826642	1659500
665	828036	1658558
666	829617	1657990
667	830933	1656892
668	832303	1655897
669	833648	1654854
670	834966	1653757
671	836347	1652781
672	837753	1651854
673	839178	1650965
674	840405	1649683
675	841773	1648680
676	843040	1647478
677	844678	1646998
678	846024	1645946
679	847462	1645074
680	848602	1643622
681	849890	1642456
682	851259	1641447
683	852515	1640220
684	853699	1638852
685	854895	1637511
686	856141	1636264
687	857201	1634662
688	858385	1633299
689	859551	1631901
690	860817	1630694
691	862011	1629350
692	863233	1628061
693	864463	1626785
694	865697	1625517
695	866916	1624222
696	868007	1622687
697	869262	1621460
698	870334	1619892
699	871387	1618291
700	872566	1616923
701	873816	1615688
702	874935	1614213
703	875921	1612491
704	877214	1611337
705	878403	1609991
706	879571	1608608
707	880697	1607148
708	881825	1605693
709	882982	1604292
